idstatefrom,idaction,idstateto,probability,reward
0,0,0,1,0
0,1,0,1,-28.48999999999999
0,2,0,0.17929095965283365,-26.99
0,2,1,0.8207090403471663,-31.01
0,3,1,0.17929095965283365,-29.51
0,3,2,0.8207090403471663,-33.53
0,4,2,0.17929095965283365,-32.03
0,4,3,0.8207090403471663,-36.050000000000004
0,5,3,0.17929095965283365,-34.55
0,5,4,0.8207090403471663,-38.56999999999999
0,6,4,0.17929095965283365,-37.07
0,6,5,0.8207090403471663,-41.089999999999996
0,7,5,0.17929095965283365,-39.589999999999996
0,7,6,0.8207090403471663,-43.61
0,8,6,0.17929095965283365,-42.10999999999999
0,8,7,0.8207090403471663,-46.13
0,9,7,0.17929095965283365,-44.629999999999995
0,9,8,0.8207090403471663,-48.65000000000001
0,10,8,0.17929095965283365,-47.15
0,10,9,0.8207090403471663,-51.17
0,11,9,0.17929095965283365,-49.669999999999995
0,11,10,0.8207090403471663,-53.68999999999999
0,12,10,0.17929095965283365,-52.19
0,12,11,0.8207090403471663,-56.21
0,13,11,0.17929095965283365,-54.709999999999994
0,13,12,0.8207090403471663,-58.73
0,14,12,0.17929095965283365,-57.23
0,14,13,0.8207090403471663,-61.24999999999999
0,15,13,0.17929095965283365,-59.75000000000001
0,15,14,0.8207090403471663,-63.77
0,16,14,0.17929095965283365,-62.269999999999996
0,16,15,0.8207090403471663,-66.29
0,17,15,0.17929095965283365,-64.79
0,17,16,0.8207090403471663,-68.81000000000002
0,18,16,0.17929095965283365,-67.31
0,18,17,0.8207090403471663,-71.33000000000001
0,19,17,0.17929095965283365,-69.83
0,19,18,0.8207090403471663,-73.85000000000001
0,20,18,0.17929095965283365,-72.35000000000001
0,20,19,0.8207090403471663,-76.37
0,21,19,0.17929095965283365,-74.86999999999999
0,21,20,0.8207090403471663,-78.89
0,22,20,0.17929095965283365,-77.38999999999999
0,22,21,0.8207090403471663,-81.41
0,23,21,0.17929095965283365,-79.91
0,23,22,0.8207090403471663,-83.93
0,24,22,0.17929095965283365,-82.42999999999999
0,24,23,0.8207090403471663,-86.45
0,25,23,0.17929095965283365,-84.95
0,25,24,0.8207090403471663,-88.97000000000001
0,26,24,0.17929095965283365,-87.47
0,26,25,0.8207090403471663,-91.49000000000002
0,27,25,0.17929095965283365,-89.99
0,27,26,0.8207090403471663,-94.01
0,28,26,0.17929095965283365,-92.50999999999998
0,28,27,0.8207090403471663,-96.53
0,29,27,0.17929095965283365,-95.02999999999999
0,29,28,0.8207090403471663,-99.05000000000001
0,30,28,0.17929095965283365,-97.55
0,30,29,0.8207090403471663,-101.57000000000001
0,31,29,0.17929095965283365,-100.07000000000001
0,31,30,0.8207090403471663,-104.09000000000002
0,32,30,0.17929095965283365,-102.59
0,32,31,0.8207090403471663,-106.61000000000001
0,33,31,0.17929095965283365,-105.10999999999999
0,33,32,0.8207090403471663,-109.12999999999998
0,34,32,0.17929095965283365,-107.63
0,34,33,0.8207090403471663,-111.65
0,35,33,0.17929095965283365,-110.14999999999999
0,35,34,0.8207090403471663,-114.17000000000002
0,36,34,0.17929095965283365,-112.67
0,36,35,0.8207090403471663,-116.69000000000003
0,37,35,0.17929095965283365,-115.19000000000001
0,37,36,0.8207090403471663,-119.21000000000001
0,38,36,0.17929095965283365,-117.71
0,38,37,0.8207090403471663,-121.73
0,39,37,0.17929095965283365,-120.23
0,39,38,0.8207090403471663,-124.25000000000001
0,40,38,0.17929095965283365,-122.75
0,40,39,0.8207090403471663,-126.77000000000001
0,41,39,0.17929095965283365,-125.27000000000001
0,41,40,0.8207090403471663,-129.29
0,42,40,0.17929095965283365,-127.79
0,42,41,0.8207090403471663,-131.81
0,43,41,0.17929095965283365,-130.31
0,43,42,0.8207090403471663,-134.32999999999998
0,44,42,0.17929095965283365,-132.83
0,44,43,0.8207090403471663,-136.85
0,45,43,0.17929095965283365,-135.35000000000002
0,45,44,0.8207090403471663,-139.37
0,46,44,0.17929095965283365,-137.87
0,46,45,0.8207090403471663,-141.89
0,47,45,0.17929095965283365,-140.39000000000001
0,47,46,0.8207090403471663,-144.41
0,48,46,0.17929095965283365,-142.91000000000003
0,48,47,0.8207090403471663,-146.93
0,49,47,0.17929095965283365,-145.43
0,49,48,0.8207090403471663,-149.45
0,50,48,0.17929095965283365,-147.95000000000002
0,50,49,0.8207090403471663,-151.97
0,51,49,0.17929095965283365,-150.47000000000003
0,51,50,0.8207090403471663,-154.49
0,52,50,0.17929095965283365,-152.99000000000004
